dist,scope,modif_one_th,modif_50_m,modif_scope_100_m,derivation,sidewind,crosswind,temph,hpa,up_level,down_level,time_fly,dispersion_side,dispersion_long,type,traectory
150,383,2,47,14,0,3,1,1,0,-0.10,0.10,14.90,3,3,Осн,Морт
200,430,2,48,15,0,3,1,1,0,-0.10,0.10,14.80,3,3,Осн,Морт
250,479,2,50,20,0,2,1,1,0,-0.10,0.10,14.60,3,3,Осн,Морт
300,530,1,54,25,0,2,1,1,0,-0.20,0.20,14.40,3,3,Осн,Морт
350,585,1,59,33,0,1,1,1,0,-0.20,0.20,14.10,3,4,Осн,Морт
400,646,1,67,43,0,1,1,1,0,-0.20,0.20,13.70,3,4,Осн,Морт
450,718,1,83,58,0,1,1,2,0,-0.20,0.20,13.30,3,5,Осн,Морт
500,811,1,155,88,0,1,1,2,0,-0.30,0.30,12.50,3,6,Осн,Морт
543,999,1,146,0,0,1,1,2,0,-0.30,0.30,10.70,2,6,Осн,Морт
350,364,4,17,4,0,6,3,2,0,-0.50,0.50,25.10,8,8,1-й,Морт
400,380,3,17,4,0,6,3,3,1,-0.50,0.50,25,8,8,1-й,Морт
450,396,3,18,5,0,5,3,3,1,-0.60,0.60,25,8,8,1-й,Морт
500,414,3,18,6,0,5,3,3,1,-0.70,0.70,24.90,8,8,1-й,Морт
550,431,3,18,6,0,4,3,4,1,-0.70,0.70,24.80,8,8,1-й,Морт
600,448,3,18,6,0,4,3,4,1,-0.80,0.80,24.70,8,8,1-й,Морт
650,467,3,18,8,0,4,3,4,1,-0.90,0.90,24.60,8,7,1-й,Морт
700,484,3,19,8,0,3,3,5,1,-1,0.90,24.50,8,7,1-й,Морт
750,503,3,20,9,0,3,3,5,1,-1,1,24.40,8,8,1-й,Морт
800,522,3,20,10,0,3,3,5,1,-1.10,1.10,24.20,8,8,1-й,Морт
850,542,3,21,11,0,3,3,6,1,-1.20,1.20,24.10,8,9,1-й,Морт
900,563,3,21,12,0,3,3,6,1,-1.30,1.20,23.90,8,9,1-й,Морт
950,583,3,22,13,0,2,3,6,1,-1.30,1.30,23.70,8,10,1-й,Морт
1000,605,3,23,14,0,2,3,7,1,-1.40,1.40,23.50,8,10,1-й,Морт
1050,628,3,24,16,0,2,3,7,1,-1.50,1.40,23.30,8,11,1-й,Морт
1100,652,3,25,18,0,2,3,7,2,-1.60,1.50,23.10,8,11,1-й,Морт
1150,677,2,27,20,0,2,4,8,2,-1.60,1.60,22.80,7,12,1-й,Морт
1200,704,2,29,22,0,2,4,8,2,-1.70,1.70,22.50,7,12,1-й,Морт
1250,733,2,31,26,0,2,4,8,2,-1.80,1.70,22.10,7,13,1-й,Морт
1300,766,2,35,31,0,2,4,9,2,-1.90,1.80,21.70,7,13,1-й,Морт
1350,802,2,41,37,0,2,4,9,2,-1.90,1.90,21.20,7,14,1-й,Морт
1400,846,2,52,47,0,1,4,9,2,-2,1.90,20.60,7,14,1-й,Морт
